+-------------------------------------------------------+--------------+----------------------------+---------------------------------------------------------------------+---------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------------------------------------------------------------------+-------------------------------------------------------------------------------+--------------------------------------------------------+---------------------------------------------------------+
| Package                                               | Version      | License Information Origin | License Expression                                                  | License Url                                                         | Copyright                                                                           | Authors                                                              | Package Project Url                                                           | Error                                                  | Error Context                                           |
| Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation     | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://asp.net/                                                              |                                                        |                                                         |
| Microsoft.AspNetCore.OpenApi                          | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://asp.net/                                                              |                                                        |                                                         |
| Microsoft.CodeAnalysis.BannedApiAnalyzers             | 4.14.0       | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://github.com/dotnet/roslyn                                              |                                                        |                                                         |
| Microsoft.EntityFrameworkCore                         | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://docs.microsoft.com/ef/core/                                           |                                                        |                                                         |
| Microsoft.EntityFrameworkCore.Abstractions            | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://docs.microsoft.com/ef/core/                                           |                                                        |                                                         |
| Microsoft.EntityFrameworkCore.Design                  | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://docs.microsoft.com/ef/core/                                           |                                                        |                                                         |
| Microsoft.EntityFrameworkCore.Proxies                 | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://docs.microsoft.com/ef/core/                                           |                                                        |                                                         |
| Microsoft.EntityFrameworkCore.SqlServer               | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://docs.microsoft.com/ef/core/                                           |                                                        |                                                         |
| Microsoft.Extensions.DependencyInjection.Abstractions | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://dot.net/                                                              |                                                        |                                                         |
| Microsoft.Extensions.FileProviders.Embedded           | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://asp.net/                                                              |                                                        |                                                         |
